N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"78,300",200,-0.25%,100,"4,674,340","5,969,783",53.27,"9,695,108",18.80,9.99,
2,SK하이닉스,"113,000","3,000",-2.59%,"5,000","822,643","728,002",48.71,"5,193,667",16.14,9.53,
3,NAVER,"440,500","11,500",-2.54%,100,"723,580","164,263",56.75,"757,797",4.49,15.22,
4,카카오,"148,500",500,+0.34%,100,"660,023","444,460",31.84,"2,243,004",216.16,2.70,
5,삼성바이오로직스,"909,000","1,000",+0.11%,"2,500","601,440","66,165",10.24,"126,624",226.68,N/A,
6,삼성전자우,"72,100",400,-0.55%,100,"593,301","822,887",75.72,"757,728",17.31,N/A,
7,LG화학,"830,000","5,000",-0.60%,"5,000","585,916","70,592",47.02,"121,496",36.13,2.93,
8,삼성SDI,"755,000","5,000",-0.66%,"5,000","519,172","68,765",43.49,"276,401",73.95,4.54,
9,현대차,"221,500","3,500",-1.56%,"5,000","473,275","213,668",29.07,"711,651",26.81,2.04,
10,셀트리온,"261,500","2,000",-0.76%,"1,000","360,652","137,917",20.40,"260,931",59.99,16.68,
11,기아,"85,300","1,100",-1.27%,"5,000","345,775","405,363",33.32,"1,070,757",15.32,5.05,
12,POSCO,"365,000",500,+0.14%,"5,000","318,232","87,187",54.42,"357,987",14.26,3.61,
13,LG전자,"163,500",500,+0.31%,"5,000","267,564","163,648",31.87,"559,207",15.23,13.23,
14,삼성물산,"142,000","3,500",+2.53%,100,"265,380","186,887",14.88,"758,246",16.91,3.81,
15,현대모비스,"271,000",500,-0.18%,"5,000","256,889","94,793",35.71,"172,232",14.46,4.66,
16,SK이노베이션,"259,500",500,+0.19%,"5,000","239,948","92,466",23.05,"265,594",-24.54,-13.58,
17,LG생활건강,"1,479,000","3,000",+0.20%,"5,000","230,993","15,618",45.71,"31,527",31.88,17.92,
18,SK텔레콤,"308,000","4,000",+1.32%,500,"221,945","72,060",46.54,"138,368",14.19,6.44,
19,KB금융,"51,900",200,-0.38%,"5,000","215,804","415,808",67.30,"828,254",5.40,8.53,
20,신한지주,"39,200",800,+2.08%,"5,000","202,507","516,600",60.02,"1,484,719",5.50,8.20,
21,SK,"271,500",0,0.00%,200,"191,028","70,360",20.16,"74,925",31.62,1.11,
22,엔씨소프트,"806,000",0,0.00%,500,"176,949","21,954",51.41,"56,168",37.42,20.83,
23,HMM,"41,850",400,+0.97%,"5,000","169,657","405,392",9.49,"3,840,003",39.67,8.93,
24,SK아이이테크놀로지,"228,500",0,0.00%,"1,000","162,915","71,298",7.80,"341,090",N/A,11.00,
25,한국전력,"24,800",50,+0.20%,"5,000","159,207","641,964",15.26,"1,000,815",7.75,2.91,
26,삼성생명,"75,600",0,0.00%,500,"151,200","200,000",13.16,"168,283",7.12,3.53,
27,LG,"95,200","1,300",-1.35%,"5,000","149,751","157,301",33.26,"175,012",8.74,7.50,
28,삼성에스디에스,"182,000","3,000",-1.62%,500,"140,828","77,378",11.82,"100,200",22.38,6.71,
29,삼성전기,"185,000","1,000",-0.54%,"5,000","138,183","74,694",31.77,"323,566",20.36,10.92,
30,아모레퍼시픽,"234,500","2,500",-1.05%,500,"137,085","58,458",33.70,"271,302",164.10,0.78,
31,하나금융지주,"44,400",250,+0.57%,"5,000","133,307","300,242",67.81,"723,642",4.73,8.96,
32,SK바이오사이언스,"164,500","2,000",+1.23%,500,"125,842","76,500",3.75,"550,130",127.82,13.25,
33,넷마블,"138,000",500,-0.36%,100,"118,616","85,954",22.84,"192,051",37.54,6.35,
34,포스코케미칼,"152,500",0,0.00%,500,"118,131","77,463",7.96,"185,149",183.29,2.96,
35,하이브,"298,500",0,0.00%,500,"116,423","39,003",14.16,"127,055",106.19,12.52,
36,두산중공업,"22,400",550,-2.40%,"5,000","114,574","511,490",5.13,"4,205,636",-12.58,-37.20,
37,S-Oil,"100,500","2,100",+2.13%,"2,500","113,146","112,583",77.83,"294,861",27.30,-13.07,
38,KT&G,"82,400",200,-0.24%,"5,000","113,129","137,292",37.33,"253,705",9.82,13.22,
39,대한항공,"30,050",350,-1.15%,"5,000","104,520","347,821",10.88,"1,028,566",12.85,-7.22,
40,삼성화재,"214,500",500,-0.23%,500,"101,619","47,375",48.41,"31,843",10.69,4.96,
41,고려아연,"532,000","6,000",-1.12%,"5,000","100,388","18,870",20.45,"61,521",15.57,8.37,
42,SK바이오팜,"119,500","2,500",-2.05%,500,"93,584","78,313",6.90,"168,141",-173.44,-135.18,
43,한국조선해양,"131,500","1,500",+1.15%,"5,000","93,067","70,773",17.38,"281,191",-10.07,-7.42,
44,롯데케미칼,"269,000",500,+0.19%,"5,000","92,201","34,275",26.91,"124,788",12.42,1.22,
45,KT,"33,750",500,+1.50%,"5,000","88,125","261,112",44.27,"956,988",11.71,4.76,
46,한온시스템,"15,700",200,-1.26%,100,"83,807","533,800",18.07,"512,010",62.06,5.09,
47,LG디스플레이,"22,750",250,+1.11%,"5,000","81,403","357,816",18.41,"4,084,535",24.10,-0.79,
48,우리금융지주,"11,050",50,-0.45%,"5,000","79,811","722,268",28.05,"2,469,086",5.48,5.87,
49,한화솔루션,"41,700",600,-1.42%,"5,000","79,763","191,278",17.14,"604,689",11.18,5.30,
50,기업은행,"10,300",50,-0.48%,"5,000","76,663","744,301",12.94,"562,276",5.04,6.44,
51,현대글로비스,"198,500","4,500",-2.22%,500,"74,438","37,500",35.03,"120,738",12.94,12.45,
52,현대제철,"53,800",400,+0.75%,"5,000","71,794","133,446",20.25,"1,149,264",-68.54,-2.59,
53,CJ제일제당,"464,500","6,000",-1.28%,"5,000","69,927","15,054",25.09,"19,108",18.69,13.50,
54,LG유플러스,"14,850",150,+1.02%,"5,000","64,837","436,611",33.31,"712,216",12.51,6.46,
55,금호석유,"210,000","3,500",-1.64%,"5,000","63,982","30,468",22.37,"185,528",7.56,20.18,
56,코웨이,"85,200",200,+0.24%,500,"62,877","73,800",59.50,"149,963",14.65,31.51,
